pincombination,date,Split,Frequency,Zreal,Zimag,Zmod,Zphase,rh,Replicate,run,Path,TCN
9-12,021119,B,12.40079,1061793000,-9273387000,9333976000,-83.46814,0,B4,1,bg_no_rh/021119_B4_9_12_#1.txt,3500
9-12,021119,B,9.93114,1518448000,-10447960000,10557720000,-81.73085,0,B4,1,bg_no_rh/021119_B4_9_12_#1.txt,3500
9-12,021119,B,100078.1,9017.269,-1188131,1188165,-89.56516,0,B4,2,bg_no_rh/021119_B4_9_12_#2.txt,3500
9-12,021119,B,79453.13,5703.216,-1497099,1497110,-89.78173,0,B4,2,bg_no_rh/021119_B4_9_12_#2.txt,3500
9-12,021119,B,63140.62,21192.87,-1869323,1869443,-89.35046,0,B4,2,bg_no_rh/021119_B4_9_12_#2.txt,3500
9-12,021119,B,50203.12,11975.28,-2347966,2347996,-89.70778,0,B4,2,bg_no_rh/021119_B4_9_12_#2.txt,3500
9-12,021119,B,39890.62,16026.06,-2964217,2964260,-89.69023,0,B4,2,bg_no_rh/021119_B4_9_12_#2.txt,3500
9-12,021119,B,31640.63,42134.32,-3735404,3735641,-89.35374,0,B4,2,bg_no_rh/021119_B4_9_12_#2.txt,3500
9-12,021119,B,25171.88,51822.33,-4646980,4647269,-89.36108,0,B4,2,bg_no_rh/021119_B4_9_12_#2.txt,3500
9-12,021119,B,20015.62,119174.2,-5879232,5880439,-88.83875,0,B4,2,bg_no_rh/021119_B4_9_12_#2.txt,3500
9-12,021119,B,15890.62,30816.11,-7395151,7395215,-89.76125,0,B4,2,bg_no_rh/021119_B4_9_12_#2.txt,3500
9-12,021119,B,12609.37,115643.1,-9332199,9332915,-89.29004,0,B4,2,bg_no_rh/021119_B4_9_12_#2.txt,3500
9-12,021119,B,10078.13,161646,-11617690,11618820,-89.20285,0,B4,2,bg_no_rh/021119_B4_9_12_#2.txt,3500
9-12,021119,B,8015.625,274681.8,-14711790,14714350,-88.93036,0,B4,2,bg_no_rh/021119_B4_9_12_#2.txt,3500
9-12,021119,B,6328.125,410414.9,-18457390,18461950,-88.72619,0,B4,2,bg_no_rh/021119_B4_9_12_#2.txt,3500
9-12,021119,B,5015.625,426266.2,-23142970,23146900,-88.9448,0,B4,2,bg_no_rh/021119_B4_9_12_#2.txt,3500
9-12,021119,B,3984.375,350496.8,-29293730,29295830,-89.31449,0,B4,2,bg_no_rh/021119_B4_9_12_#2.txt,3500
9-12,021119,B,3170.956,326032.4,-36208630,36210100,-89.48411,0,B4,2,bg_no_rh/021119_B4_9_12_#2.txt,3500
